2018-03-16 13:25:12,"@annediesel Então, onde trabalho o PJe tá meio que no começo, mas já dá pra ver que a tendência é melhorar o trem. No começo tava bem pior."
2018-03-16 13:24:47,Adicionei um vídeo a uma playlist @YouTube https://t.co/p4eUcjOv33 18 Atualização Imprimir PJe Calc
2018-03-16 13:23:50,"@mth_uz Eu acho o PJE terrível, mas tão mais simples de mexer em processo digital..."
2018-03-16 13:23:07,Adicionei um vídeo a uma playlist @YouTube https://t.co/yEHMi97GEs 19 Exercício PJe Calc
2018-03-16 13:07:19,"RT @tjmgoficial: O sistema #PJe (Processo Judicial eletrônico de 1ª Instância) fica indisponível, das 08h às 14h do dia 17 de março de 2018…"
2018-03-16 13:01:14,"O sistema #PJe (Processo Judicial eletrônico de 1ª Instância) fica indisponível, das 08h às 14h do dia 17 de março… https://t.co/oghoChQHhJ"
2018-03-16 13:01:04,meu ódio pelo pje (e pelo ônus que o trf3 criou a uma institução que não tem condições financeiras de suportá-lo) só aumenta. bom dia.
2018-03-16 12:47:01,TRT 01 15/03/2018 - SISTEMA PJe DE 2º GRAU SOFRERÁ INTERRUPÇÃO NO DIA 20/3. #pje #cabellonews https://t.co/atfQAlAV0B
2018-03-16 12:41:45,"Ah pronto, tao querendo implantar outro sistema além do Pje"
2018-03-16 12:28:26,Softplan 15/03/2018 - Artigo: Inteligência Jurídica e Ciência de Dados Aplicada à Justiça. #pje #cabellonews… https://t.co/S6R9gbE6ir
2018-03-16 12:26:48,OAB RJ 15/03/2018 - Aprenda o novo sistema da Justiça Federal (eproc). #pje #cabellonews   https://t.co/cuY50B1pEx https://t.co/nhjl1O7LB3
2018-03-16 12:25:08,TJ MG 15/03/2018 - São Domingos do Prata se prepara para instalar PJe. #pje #cabellonews https://t.co/xIHuXSBvdE https://t.co/BTsLts0o8K
2018-03-16 12:23:41,TJ MG 15/03/2018 - Gravação de audiências segue para mais comarcas mineiras. #pje #cabellonews… https://t.co/9iM7620a0W
2018-03-16 12:20:50,TRT 01 15/03/2018 - TRT/RJ RESTABELECE FUNCIONAMENTO ORIGINAL DO E-DOC. #pje #cabellonews https://t.co/avFAm2WCEg
2018-03-16 12:19:22,TRT 01 15/03/2018 - TRT/RJ REGULAMENTA CITAÇÃO ELETRÔNICA DE ÓRGÃOS DA ADMINISTRAÇÃO INDIRETA. #pje #cabellonews https://t.co/oVMVjt6NLk
2018-03-16 12:17:59,TRT 01 15/03/2018 - PJe TERÁ FUNCIONAMENTO INTERROMPIDO PARA INSTALAÇÃO DE NOVA VERSÃO. #pje #cabellonews https://t.co/27FeKyZGMZ
2018-03-16 12:16:24,TRT 05 15/03/2018 - Empresas poderão receber notificações de forma eletrônica no PJe. #pje #cabellonews… https://t.co/cqTPBBBYtr
2018-03-16 12:14:12,TRT 05 15/03/2018 - Assinador Java Applet será desativado na próxima segunda-feira (19/3). #pje #cabellonews… https://t.co/HlIuBZubQ9
